Name,Gender,Phone Number,Age,Indian City,Indian State,Track,Time Used Per Day (hrs),Speed of Learning (1-10),Assessment Score,Historical Assessment Average
VivaanSharma,Male,+91 6238846143,5,Agra,Uttar Pradesh,History,6.14,2.8,83,54.41
KiaraSharma,Female,+91 8385681260,11,Hyderabad,Telangana,Politics,7.26,4.35,65,55.34
MyraKhan,Female,+91 8372960268,10,Visakhapatnam,Andhra Pradesh,Mathematics,6.15,2.49,96,60.26
RohanVerma,Male,+91 8403856921,14,Bhubaneswar,Odisha,Basic Coding Languages,3.6,3.33,86,81.35
SiyaSingh,Female,+91 9904933545,4,Hyderabad,Telangana,Science,1.06,1.59,87,62.14
MyraJoshi,Female,+91 8510431242,5,Ranchi,Jharkhand,Geography,6.97,4.88,68,58.61
DiyaPatel,Female,+91 9278135509,11,Guwahati,Assam,Language,3.56,5.4,54,51.29
KaranReddy,Male,+91 7714862151,3,Varanasi,Uttar Pradesh,Science,3.05,4.64,94,58.73
MyraPatel,Female,+91 6543154959,22,Ahmedabad,Gujarat,Geography,2.23,2.46,69,57.39
IshanKhan,Male,+91 8097154688,20,Ahmedabad,Gujarat,Geography,1.8,5.17,98,60.98
AdityaJoshi,Male,+91 8694231170,21,Patna,Bihar,Philosophy,5.85,1.88,89,77.35
AaravSharma,Male,+91 9888413027,6,Jaipur,Rajasthan,Language,3.24,1.51,97,76.47
AryanJoshi,Male,+91 7680935186,5,Visakhapatnam,Andhra Pradesh,Mathematics,3.59,5.93,54,53.38
KaranYadav,Male,+91 9660762105,17,Surat,Gujarat,Economics,5.56,6.85,82,80.85
DiyaJoshi,Female,+91 8730474483,21,Thiruvananthapuram,Kerala,Geography,7.53,3.27,78,57.78
DiyaKumar,Female,+91 7456666387,11,Guwahati,Assam,History,7.61,7.7,88,78.24
VivaanJoshi,Male,+91 6274114850,14,Raipur,Chhattisgarh,Economics,7.43,2.74,77,57.85
DiyaSingh,Female,+91 6519624197,7,Visakhapatnam,Andhra Pradesh,Economics,1.1,2.26,61,60.63
SiyaReddy,Female,+91 7291036551,15,Raipur,Chhattisgarh,History,3.99,9.53,99,83.92
AadyaKumar,Female,+91 6926703052,6,Thiruvananthapuram,Kerala,Science,3.52,5.99,56,51.69
ArjunSingh,Male,+91 7709860805,7,Surat,Gujarat,Economics,5.4,8.48,88,64.47
AryanYadav,Male,+91 7074001871,19,Visakhapatnam,Andhra Pradesh,Geography,7.18,1.79,59,57.09
AaravKhan,Male,+91 6052701500,8,Ranchi,Jharkhand,Science,2.22,7.98,87,75.36
AryanKhan,Male,+91 9731584198,17,Agra,Uttar Pradesh,Politics,6.95,3.06,89,74.57
VivaanYadav,Male,+91 6002701077,18,Guwahati,Assam,Basic Coding Languages,4.16,9.98,92,70.64
AadyaGupta,Female,+91 6609380816,12,Coimbatore,Tamil Nadu,History,5.51,1.5,100,63.63
IraGupta,Female,+91 8033731621,16,Mysore,Karnataka,History,6.12,2.92,98,58.85
KaranVerma,Male,+91 6451789017,20,Patna,Bihar,Economics,2.27,2.17,88,56.37
MyraReddy,Female,+91 8401710283,14,Indore,Madhya Pradesh,Language,3.82,8.33,96,88.73
AdityaVerma,Male,+91 8085169286,6,Agra,Uttar Pradesh,History,5.57,3.72,84,69.17
MyraVerma,Female,+91 8757099905,20,Visakhapatnam,Andhra Pradesh,Language,4.87,3.92,66,64.87
AryanYadav,Male,+91 7995583999,9,Dehradun,Uttarakhand,Geography,3.49,5.65,86,67.08
ReyanshKumar,Male,+91 8854435504,6,Hyderabad,Telangana,Politics,2.46,3.74,83,79.99
VivaanVerma,Male,+91 9022695565,18,Lucknow,Uttar Pradesh,Economics,1.87,8.82,87,61.66
AryanJoshi,Male,+91 7302774442,4,Ranchi,Jharkhand,History,6.41,3.46,72,70.61
NavyaVerma,Female,+91 9029582607,17,Dehradun,Uttarakhand,Basic Coding Languages,3.66,1.05,51,50.21
RohanReddy,Male,+91 7275207920,17,Ahmedabad,Gujarat,Basic Coding Languages,4.95,7.5,67,59.72
AanyaYadav,Female,+91 9899880445,12,Raipur,Chhattisgarh,Science,2.32,2.12,74,71.01
KaranJoshi,Male,+91 6250965871,19,Dehradun,Uttarakhand,Philosophy,4.44,6,55,52.65
MyraReddy,Female,+91 8751084643,7,Hyderabad,Telangana,Science,5.05,6.17,82,54.35
KiaraKhan,Female,+91 7732276379,17,Ahmedabad,Gujarat,Geography,2.93,4.39,78,52.72
AanyaSingh,Female,+91 6769713914,9,Visakhapatnam,Andhra Pradesh,Language,7.4,8,56,52.15
AnanyaGupta,Female,+91 6702498880,20,Kolkata,West Bengal,Basic Coding Languages,3.19,5.9,85,83.46
